"title","imdbid","rating","year","id"
"Emmanuelle 5","0092962",0,1987,9755
"Casanova","0092730",2,1987,9822
"No Way Out","0093640",1,1987,9852
"Slave Girls from Beyond Infinity","0093991",3,1987,10275
"Where is the friend&#39;s house","0093342",0,1987,10288
"Mannequin","0093493",1,1987,10739
"Untouchables, The","0094226",1,1987,10867
"Opera","0093677",3,1987,11377
"Who Framed Roger Rabbit","0096438",1,1988,136
"Coming to America","0094898",3,1988,256
"Tonari no Totoro","0096283",3,1988,259
"Twins","0096320",3,1988,572
"Police Academy 5: Assignment: Miami Beach","0095882",1,1988,580
"Die Hard","0095016",3,1988,619
"Beetle Juice","0094721",3,1988,647
"Willow","0096446",3,1988,739
"Maniac Cop","0095583",3,1988,814
"Heathers","0097493",3,1988,859
"Mystic Pizza","0095690",3,1988,940
"Working Girl","0096463",3,1988,1070
"They Live","0096256",0,1988,1293
"Oliver &amp; Company","0095776",2,1988,1210
"Bloodsport","0092675",1,1988,1158
"Dangerous Liaisons","0094947",3,1988,1629
"L&#39;etudiante","0096523",3,1988,1647
"Poltergeist III","0095889",3,1988,1714
"Naked Gun: From the Files of Police Squad!, The","0095705",1,1988,1824
"Killer Klowns from Outer Space","0095444",0,1988,1860
"A Fish Called Wanda","0095159",3,1988,1911
"Midnight Run","0095631",2,1988,2903
"Akira","0094625",1,1988,2244
"Women on the Verge of a Nervous Breakdown","0095675",3,1988,2406
"Hairspray","0095270",3,1988,2462
"Satisfaction","0096037",3,1988,2485
"Beaches","0094715",3,1988,2493
"Accused, The","0094608",3,1988,2502
"Big Business","0094739",3,1988,2505
"Feds","0095145",3,1988,2653
"Action Jackson","0094612",1,1988,2663
"Alien Nation","0094631",1,1988,2784
"Land Before Time, The","0095489",3,1988,2905
"Distant Voices, Still Lives","0095037",3,1988,2960
"Torch Song Trilogy","0096289",1,1988,3075
"Scooby-Doo and the Ghoul School","0189071",3,1988,3448
"Rain Man","0095953",1,1988,3482
"Married to the Mob","0095593",3,1988,3559
"Appleseed","0094668",3,1988,4374
"Young Guns","0096487",1,1988,4578
"Rock &#39;n&#39; Roll Mom","0096001",3,1988,4582
"Two Moon Junction","0096324",3,1988,4628
"Dead Ringers","0094964",2,1988,4672
"Child&#39;s Play","0094862",3,1988,4705
"My Stepmother Is an Alien","0095687",3,1988,4774
"World Gone Wild","0096465",3,1988,4813
"Hell Comes to Frogtown","0093171",3,1988,4815
"Scrooged","0096061",3,1988,4986
"Crossing Delancey","0094921",3,1988,4990
"Cinema Paradiso","0095765",1,1988,4998
"Last Temptation of Christ, The","0095497",2,1988,5128
"Gakk&ocirc; no kaidan G","0330312",0,1988,5179
"Sticky Fingers","0096176",3,1988,5258
"Hellbound: Hellraiser II","0095294",1,1988,5261
"Big","0094737",1,1988,5324
"Another Woman","0094663",3,1988,5383
"Caddyshack II","0094824",3,1988,5569
"Adventures of Baron Munchausen, The","0096764",1,1988,5595
"Grave of the Fireflies","0095327",0,1988,5867
"Spoorloos","0096163",1,1988,5881
"A Nightmare on Elm Street 4: The Dream Master","0095742",3,1988,6020
"Wong gok ka moon","0096461",0,1988,6746
"Pumpkinhead","0095925",3,1988,7099
"Accidental Tourist, The","0094606",2,1988,7161
"Remando al viento [Rowing with the Wind]","0093840",2,1988,7423
"Critters 2","0094919",3,1988,8389
"Earth Girls Are Easy","0097257",2,1988,8406
"Lady in White","0095484",1,1988,8515
"Gorillas in the Mist","0095243",3,1988,8771
"Bull Durham","0094812",2,1988,9060
"Igla","0097561",0,1988,9206
"Bear, The","0095800",0,1988,9418
"Rambo III","0095956",0,1988,9410
"Big Blue, The","0095250",2,1988,9453
"Vibes","0096378",1,1988,9489
"Hiroshima Maiden","0224412",3,1988,9666
"Elvira: Mistress of the Dark","0095088",3,1988,9676
"&#39;Gator Bait 2: Cajun Justice","0094588",0,1988,9737
"Sisterhood, The","0096114",3,1988,9751
"Emmanuelle 6","0095094",3,1988,9758
"Red Scorpion","0098180",0,1988,9769
"Bourne Identity, The","0094791",0,1988,9821
"Stand and Deliver","0094027",1,1988,10295
"Dirty Rotten Scoundrels","0095031",1,1988,10328
"Kung-Fu Master!","0093371",3,1988,10631
"Great Outdoors, The","0095253",3,1988,10685
"Crocodile Dundee II","0092493",2,1988,10704
"Chocolat","0094868",3,1988,10747
"And God Created Woman","0092559",3,1988,10934
"Shame","0093952",3,1988,10921
"Running on Empty","0096018",1,1988,11239
"On the Silver Globe","0093593",1,1988,11198
"Jane B. for Agnes V.","0093295",3,1988,11355
"Sorority Babes in the Slimeball Bowl-O-Rama","0096142",3,1988,11644
"Assault of the Killer Bimbos","0092587",3,1988,11658
"lair of the white worm , The","0095488",3,1988,11853
"Miracle Mile","0097889",3,1988,11957
"Back to the Future Part II","0096874",3,1989,150
"Uncle Buck","0098554",3,1989,159
"When Harry Met Sally","0098635",3,1989,181
"Resan till Melonia","0098189",1,1989,336
"Road House","0098206",1,1989,511
"Police Academy 6: City Under Siege","0098105",1,1989,581
"Mystery Train","0097940",3,1989,591
"Little Mermaid, The","0097757",3,1989,666
"Majo no takky&ucirc;bin (Kiki&#39;s Delivery Service)","0097814",3,1989,700
"Fat Man and Little Boy","0097336",1,1989,734
"Troop Beverly Hills","0098519",3,1989,849
"Steel Magnolias","0098384",3,1989,924
"Batman","0096895",1,1989,1023
"Indiana Jones and the Last Crusade","0097576",0,1989,1049
"Star Trek V: The Final Frontier","0098382",1,1989,1201
"Shirley Valentine","0098319",3,1989,1103
"Przesluchanie","0084548",3,1989,1463
"Ghostbusters II","0097428",2,1989,1540
"Honey, I Shrunk the Kids","0097523",3,1989,1603
"Wild Orchid","0100934",3,1989,1499
"Abyss, The","0096754",3,1989,1478
"Let It Ride","0097731",2,1989,1640
"Fletch Lives","0097366",1,1989,1833
"Weekend at Bernie&#39;s","0098627",1,1989,1834
"Get Smart, Again!","0097423",3,1989,1847
"Sex, Lies, and Videotape","0098724",2,1989,2065
"&#39;Burbs, The","0096734",1,1989,2074
"Henry V","0097499",3,1989,2353
"Dead Poets Society","0097165",1,1989,2361
"Bill &amp; Ted&#39;s Excellent Adventure","0096928",2,1989,2463
"She-Devil","0098309",3,1989,2488
"All Dogs Go to Heaven","0096787",3,1989,2528
"Crimes and Misdemeanors","0097123",3,1989,2619
"Major League","0097815",1,1989,3808
"Seventh Continent, The","0098327",3,1989,3803
"Leviathan","0097737",3,1989,3932
"Drugstore Cowboy","0097240",2,1989,3934
"UHF","0098546",1,1989,4036
"Meet The Feebles","0097858",3,1989,4175
"Shag","0098300",3,1989,4268
"Say Anything...","0098258",2,1989,4270
"Licence to Kill","0097742",2,1989,4364
"Oranges Are Not The Only Fruit","0098032",3,1989,4397
"Dream Team, The","0097235",0,1989,4579
"Cook, the Thief, His Wife &amp; Her Lover, The","0097108",1,1989,4597
"Dead Calm","0097162",0,1989,4606
"Leningrad Cowboys Go America","0097728",0,1989,4646
"Teen Witch","0098453",3,1989,4760
"Turner &amp; Hooch","0098536",1,1989,5277
"Chopper Chicks in Zombietown","0103959",3,1989,5534
"Born on the Fourth of July","0096969",3,1989,5574
"A Nightmare on Elm Street 5: The Dream Child","0097981",3,1989,6024
"Do the Right Thing","0097216",2,1989,6594
"Friday the 13th Part VIII: Jason Takes Manhattan","0097388",3,1989,6675
"Glory","0097441",0,1989,6975
"Loverboy","0097790",3,1989,7048
"Godzilla vs. Biollante","0097444",3,1989,7213
"Lethal Weapon 2","0097733",3,1989,7222
"Driving Miss Daisy","0097239",3,1989,7255
"Field of Dreams","0097351",2,1989,7268
"My Left Foot","0097937",3,1989,7269
"Millennium","0097883",3,1989,7438
"Delinquents, The","0097182",3,1989,7842
"National Lampoon&#39;s Christmas Vacation","0097958",3,1989,8323
"Celia","0094849",3,1989,8470
"Babar: The Movie","0096869",3,1989,8507
"Savage Beach","0098257",3,1989,8997
"Kickboxer","0097659",0,1989,9485
"Blind Fury","0096945",1,1989,9487
"Karate Kid Part III, The","0097647",0,1989,9515
"Killer, The","0097202",0,1989,9528
"Farewell to the King","0097334",0,1989,9539
"Tango &amp; Cash","0098439",0,1989,9727
"Return of Swamp Thing, The","0098193",3,1989,9752
"Punisher, The","0098141",1,1989,9770
"Sidewalk Stories","0098325",2,1989,10637
"Parenthood","0098067",3,1989,10709
"Sea of Love","0098273",0,1989,10841
"Casualties of War","0097027",0,1989,10876
"Look Who&#39;s Talking","0097778",2,1989,11045
"Wallace &amp; Gromit: A Grand Day Out","0104361",0,1989,11660
"Palombella rossa","0098055",0,1989,11866
"See No Evil, Hear No Evil","0098282",3,1989,11949
"Total Recall","0100802",1,1990,118
"Back to the Future Part III","0099088",1,1990,151
"Witches, The","0100944",3,1990,209
"Home Alone","0099785",3,1990,432
"Mermaids","0100140",3,1990,443
"It","0099864",1,1990,454
"Misery","0100157",1,1990,459
"Postcards from the Edge","0100395",3,1990,533
"Life Is Sweet","0100024",3,1990,796
"Nikita","0100263",3,1990,869
"Handmaid&#39;s Tale, The","0099731",3,1990,926
"Mindwalk","0100151",3,1990,1173
"Ghost","0099653",3,1990,1130
"Paris is Burning","0100332",3,1990,1441
"Tremors","0100814",3,1990,1663
"I, the Worst of All","0100990",3,1990,1728
"White Hunter Black Heart","0100928",1,1990,1935
"Pretty Woman","0100405",3,1990,2156
"Goodfellas","0099685",3,1990,2211
"Darkman","0099365",0,1990,2242
"Bimbos B.C.","0196378",3,1990,2379
"An Angel at My Table","0099040",3,1990,2296
"Bonfire of the Vanities, The","0099165",2,1990,2313
"Edward Scissorhands","0099487",3,1990,2442
"Wild at Heart","0100935",2,1990,2577
"Joe Versus the Volcano","0099892",2,1990,2820
"Flatliners","0099582",3,1990,2942
"Die Hard 2","0099423",3,1990,2963
"Hunt for Red October, The","0099810",1,1990,3000
"Happily Ever After","0099733",3,1990,3247
"Russia House, The","0100530",0,1990,3524
"Close-Up","0100234",1,1990,3561
"Qin yong","0098147",3,1990,3566
"Dark Angel (I Come in Peace)","0099817",0,1990,3662
"A Little Night Music","0359610",3,1990,3721
"Long Walk Home, The","0100046",3,1990,4034
"I Hired a Contract Killer","0099818",0,1990,4080
"Strangers in Good Company","0102993",3,1990,4174
"I love you to death","0099819",3,1990,4574
"Child&#39;s Play 2","0099253",3,1990,4706
"Troll 2","0105643",3,1990,4719
"Miller&#39;s Crossing","0100150",0,1990,4750
"Air America","0099005",0,1990,4807
"Predator 2","0100403",2,1990,5182
"RoboCop 2","0100502",1,1990,5237
"Teenage Mutant Ninja Turtles","0100758",2,1990,5284
"A Tale of Springtime","0097106",3,1990,5301
"Match Factory Girl, The","0098532",3,1990,5333
"Europa Europa","0099776",2,1990,5347
"Portrait of a Marriage","0098897",3,1990,5399
"Lord of the Flies","0100054",0,1990,5556
"Stella","0100691",2,1990,5581
"Welcome Home, Roxy Carmichael","0100911",3,1990,5614
"Jacob&#39;s Ladder","0099871",1,1990,5688
"Where the Heart Is","0100924",3,1990,5776
"Presumed Innocent","0100404",1,1990,5777
"Dragon Ball Z: The Movie - The Tree of Might","0142233",1,1990,5908
"Alice","0099012",3,1990,6081
"Criminal Justice","0099321",3,1990,6289
"Kindergarten Cop","0099938",3,1990,6542
"Cry-Baby","0099329",3,1990,6562
"Nasty Girl (Das schreckliche M&auml;dchen), The","0100557",3,1990,6656
"Dragon Ball Z: Bardock - The Father of Goku","0142245",0,1990,7426
"Dances with Wolves","0099348",1,1990,7626
"Rosencrantz &amp; Guildenstern Are Dead","0100519",1,1990,7659
"Hidden Agenda","0099768",3,1990,8021
"Class of 1999","0099277",2,1990,8043
"Rescuers Down Under, The","0100477",1,1990,8051
"Godfather: Part III, The","0099674",3,1990,8061
"Metropolitan","0100142",3,1990,8097
"Reflecting Skin, The","0100469",1,1990,8584
"Barbarian Queen II: The Empress Strikes Back","0103768",3,1990,8929
"Sheltering Sky, The","0100594",0,1990,9481
"Bullet in the Head","0099426",1,1990,9529
"Navy Seals","0100232",0,1990,9530
"Delta Force 2: The Colombian Connection","0099399",1,1990,9532
"Naked Tango","0100222",1,1990,9537
"No Retreat, No Surrender 3: Blood Brothers","0100266",0,1990,9546
"Lionheart","0100029",1,1990,9563
"Rocky V","0100507",0,1990,9726
"Hiroshima: Out of the Ashes","0099772",3,1990,9813
"Gremlins 2: The New Batch","0099700",2,1990,9923
"Nightbreed","0100260",3,1990,10013
"Quick Change","0100449",0,1990,10356
"Days of Being Wild","0101258",2,1990,10394
"Blue Steel","0099160",2,1990,10415
"Bad Girls from Mars","0101399",3,1990,10453
"Days of Thunder","0099371",2,1990,10884
"Grifters, The","0099703",3,1990,11632
"Silence of the Lambs, The","0102926",3,1991,32
"Beauty and the Beast","0101414",3,1991,183
"Thelma &amp; Louise","0103074",3,1991,266
"Omohide poro poro","0102587",3,1991,308
"Other People's Money","0102609",3,1991,467
"Point Break","0102685",0,1991,512
"Tacones Lejanos","0103030",3,1991,710
"Fried Green Tomatoes","0101921",3,1991,767
"Terminator 2: Judgement Day","0103064",3,1991,847
"Shakes the Clown","0102898",3,1991,879
"Impromptu","0102103",3,1991,913
"Hook","0102057",2,1991,1033
"Flirting","0101898",2,1991,1346
"Raise the Red Lantern","0101640",3,1991,1297
"White Fang","0103247",1,1991,1125
"Closet Land","0101597",0,1991,1429
"Doc Hollywood","0101745",1,1991,1089
"Robin Hood: Prince of Thieves","0102798",3,1991,1579
"Fisher King, The","0101889",3,1991,1405
"Toy Soldiers","0103112",0,1991,1697
"Naked Gun 2 1/2: The Smell of Fear, The","0102510",1,1991,1825
"Slacker","0102943",3,1991,1846
"Double Life of Veronique, The","0101765",3,1991,2180
"Salmonberries","0102829",3,1991,2216
"Barton Fink","0101410",1,1991,2315
"Black Robe","0101465",1,1991,2326
"&#39;Merci la vie&#39;","0102436",3,1991,2408
"Daughters of the Dust","0104057",3,1991,2455
"An American Tail: Fievel Goes West","0101329",3,1991,2491
"Don&#39;t Tell Mom the Babysitter&#39;s Dead","0101757",3,1991,2637
"Teenage Mutant Ninja Turtles II: The Secret of the Ooze","0103060",3,1991,2740
"Delirious","0101701",1,1991,2785
"Night on Earth","0102536",3,1991,2846
"Motorama","0104922",1,1991,2857
"Critters 3","0101627",3,1991,2913
"Rubin and Ed","0102817",0,1991,3036
"Object of Beauty, The","0102573",3,1991,3058
"Bill &amp; Ted&#39;s Bogus Journey","0101452",1,1991,3251
"What About Bob?","0103241",2,1991,3292
"Hudson Hawk","0102070",3,1991,3544
"Hot Shots!","0102059",1,1991,3563
"Star Trek VI: The Undiscovered Country","0102975",2,1991,3592
"Addams Family, The","0101272",3,1991,3595
"Rocketeer, The","0102803",1,1991,3987
"Into The Woods","0099851",3,1991,4241
"Last Boy Scout, The","0102266",3,1991,4290
"Neon City","0104981",3,1991,4358
"Life Stinks","0102303",0,1991,4577
"Defending Your Life","0101698",3,1991,4631
"L.A. Story","0102250",3,1991,4666
"Europa","0101829",0,1991,4736
"Princess and the Goblin, The","0107875",3,1991,4973
"Lethal Games","0100009",3,1991,5133
"Madonna: Truth or Dare","0102370",3,1991,5260
"My Girl","0102492",3,1991,5265
"Lovers on the Bridge, The","0101318",1,1991,5332
"Boyz n the Hood","0101507",2,1991,5638
"Linguini Incident, The","0102313",3,1991,5639
"Five Heartbeats, The","0101891",1,1991,5814
"Dick Tracy","0099422",1,1991,5833
"Freddy&#39;s Dead: The Final Nightmare","0101917",2,1991,6028
"Dragon Ball Z: Cooler&#39;s Revenge","1125254",0,1991,6089
"Nekromantik 2","0102522",1,1991,6335
"Soapdish","0102951",3,1991,6371
"Robin Hood","0102797",1,1991,7146
"People Under the Stairs, The","0105121",3,1991,7163
"Hachi-gatsu no rapusodi","0101991",3,1991,7172
"Paprika","0098063",3,1991,7235
"JFK","0102138",3,1991,7200
"City Slickers","0101587",3,1991,7365
"Riff-Raff","0100491",0,1991,7609
"Frankie and Johnny","0101912",1,1991,7632
"My Own Private Idaho","0102494",1,1991,7650
"Oscar","0102603",2,1991,7655
"Cape Fear","0101540",3,1991,7938
"Mediterraneo","0102426",2,1991,8062
"Until the End of the World","0101458",3,1991,9094
"Samurai Cop","0130236",1,1991,9322
"Highlander II","0102034",1,1991,9378
"Deathstalker IV: Match of Titans","0099388",1,1991,9517
"Delta Force 3: The Killing Game","0101702",0,1991,9533
"Kickboxer 2: The Road Back","0102202",0,1991,9548
"Double Impact","0101764",1,1991,9564
"Manta, Manta","0102397",3,1991,9810
"Child&#39;s Play 3","0103956",2,1991,9847
"Showdown in Little Tokyo","0102915",3,1991,10117
"Commitments, The","0101605",3,1991,10265
"Eyes of an Angel","0101844",0,1991,10474
"Drop Dead Fred","0101775",3,1991,10658
"New Jack City","0102526",0,1991,10733
"Backdraft","0101393",1,1991,10871
"For the Boys","0101902",3,1991,10889
"Butcher&#39;s wife, The","0101523",3,1991,11281
"Reservoir Dogs","0105236",0,1992,18
"Aladdin","0103639",0,1992,98
"Alien 3","0103644",0,1992,296
"Home Alone 2: Lost in New York","0104431",3,1992,433
"Glengarry Glen Ross","0104348",0,1992,450
"A Few Good Men","0104257",1,1992,451
"A League of Their Own","0104694",3,1992,560
"Buffy the Vampire Slayer","0103893",3,1992,748
"Bob Roberts","0103850",1,1992,818
"Batman Returns","0103776",0,1992,1025
"Gas Food Lodging","0104321",3,1992,1345
"Sister Act","0105417",3,1992,1352
"Army of Darkness","0106308",2,1992,1276
"Muppet Christmas Carol, The","0104940",3,1992,1101
"Mighty Ducks, The","0104868",1,1992,1126
"FernGully: The Last Rainforest","0104254",3,1992,1157
"Toys","0105629",3,1992,1836
"Full Contact","0105851",1,1992,1867
"Death Becomes Her","0104070",3,1992,1869
"Orlando","0107756",2,1992,1877
"El Mariachi","0104815",0,1992,1886
"My Cousin Vinny","0104952",1,1992,1895
"Enchanted April","0101811",3,1992,2128
"Passion Fish","0105107",3,1992,2349
"Howards End","0104454",3,1992,2415
"Twin Peaks: Fire Walk With Me","0105665",3,1992,2432
"Sarafina!","0105316",3,1992,2457
"Leaving Normal","0104697",3,1992,2466
"Single White Female","0105414",3,1992,2504
"This is My Life","0105577",3,1992,2506
"Newsies","0104990",1,1992,2628
"Straight Talk","0105481",3,1992,2709
"Crying Game, The","0104036",2,1992,3141
"Porco Rosso (Kurenai no Buta)","0104652",1,1992,3414
"King of Beggars","0100963",2,1992,3556
"Player, The","0105151",3,1992,3636
"Scent of a Woman","0105323",1,1992,3787
"Baraka","0103767",0,1992,3937
"Dead Alive","0103873",3,1992,4141
"Malcolm X","0104797",3,1992,4391
"Wayne&#39;s World","0105793",1,1992,4731
"Stop! Or My Mom Will Shoot","0105477",2,1992,4779
"Chaplin","0103939",1,1992,4782
"Cutting Edge, The","0104040",3,1992,4839
"Ladybugs","0104670",3,1992,4837
"Como agua para chocolate","0103994",3,1992,4838
"Husbands and Wives","0104466",3,1992,4903
"Basic Instinct","0103772",1,1992,4940
"Dracula","0103874",3,1992,4947
"Damage","0104237",3,1992,4952
"Hero","0104412",1,1992,4999
"Candyman","0103919",3,1992,5005
"Lawnmower Man, The","0104692",1,1992,5241
"Boomerang","0103859",3,1992,5318
"Un Coeur en Hiver","0105682",3,1992,5425
"Bikini Carwash Company, The","0103812",3,1992,5533
"Doragon b&ocirc;ru Z: Atsumare! Gok&ucirc; W&acirc;rudo","1517470",0,1992,5593
"Sneakers","0105435",1,1992,5654
"Dragon Ball Z: The Return of Cooler","0142237",0,1992,6090
"A River Runs Through It","0105265",2,1992,6123
"Singles","0105415",2,1992,6317
"Hellraiser III: Hell on Earth","0104409",3,1992,6397
"Peter&#39;s Friends","0105130",3,1992,6702
"Dragon Inn","0105859",3,1992,6862
"Unforgiven","0105695",3,1992,7006
"Freddie as F.R.O.7.","0104298",1,1992,7601
"Last of the Mohicans, The","0104691",2,1992,7031
"Split Second","0105459",0,1992,7179
"Tom and Jerry: The Movie","0105616",3,1992,7191
"Hard Boiled","0104684",0,1992,7245
"HouseSitter","0104452",1,1992,7640
"Bitter Moon","0104779",3,1992,8287
"Critters 4","0101628",1,1992,8393
"Leap of Faith","0104695",2,1992,8583
"Encino Man","0104187",1,1992,8622
"Bodyguard, The","0103855",2,1992,8991
"Just another girl on the I.R.T","0104575",1,1992,9000
"Hand That Rocks the Cradle, The","0104389",3,1992,9922
"Dien Bien Phu","0104105",0,1992,9107
"Lover / L&#39;amant, The","0101316",1,1992,9221
"Stay Tuned","0105466",2,1992,9242
"Strictly Ballroom","0105488",1,1992,9331
"Passenger 57","0105104",1,1992,9785
"Schtonk","0105328",3,1992,9812
"Far and Away","0104231",3,1992,10862
"Beethoven","0103786",3,1992,10872
"Kuffs","0104647",0,1992,11485
"Deep Cover","0104073",1,1992,11537
"Ghostwatch","0200659",3,1992,11646
"Jurassic Park","0107290",3,1993,109
"Groundhog Day","0107048",2,1993,114
"Demolition Man","0106697",0,1993,117
"Mrs. Doubtfire","0107614",3,1993,436
"Point of No Return/The Assassin","0107843",3,1993,543
"Sleepless in Seattle","0108160",2,1993,556
"Umi ga kikoeru","0108432",3,1993,558
"Hocus Pocus","0107120",3,1993,587
"Swing Kids","0108265",1,1993,727
"Manhattan Murder Mystery","0107507",3,1993,810
"Ruby in Paradise","0108000",3,1993,852
"Dazed and Confused","0106677",3,1993,861
"Sandlot, The","0108037",0,1993,899
"Bad Boy Bubby","0106341",1,1993,950
"Three Colors: Blue","0108394",3,1993,984
"Robin Hood: Men in Tights","0107977",3,1993,1067
"Cool Runnings","0106611",1,1993,1602
"Boxing Helena","0106471",1,1993,1517
"Wedding Banquet, The","0107156",3,1993,1195
"Homeward Bound: The Incredible Journey","0107131",1,1993,1088
"Dave","0106673",3,1993,1133
"Secret Garden, The","0108071",3,1993,1434
"Addams Family Values","0106220",3,1993,1436
"Sister Act 2: Back in the Habit","0108147",3,1993,1353
"Undercover Blues","0108442",1,1993,1097
"Schindler&#39;s List","0108052",3,1993,1497
"Fei hu wai zhuan","0104246",2,1993,1637
"Death Train","0106689",3,1993,1666
"Even Cowgirls Get The Blues","0106834",3,1993,1790
"Fatal Instinct","0106873",3,1993,1856
"Princess and the Cobbler, The","0112389",0,1993,1940
"Trial, The","0108388",1,1993,2182
"Piano, The","0107822",3,1993,2230
"Once Upon a Forest","0107745",3,1993,2492
"Nightmare Before Christmas, The","0107688",1,1993,2543
"Sonatine","0108188",0,1993,2847
"Little Buddha","0107426",1,1993,2892
"Fugitive, The","0106977",2,1993,2916
"Joy Luck Club, The","0107282",3,1993,3088
"Age of Innocence, The","0106226",3,1993,3097
"Heart and Souls","0107091",2,1993,3123
"Pieces of April","0311648",3,1993,3176
"Tombstone","0108358",3,1993,3180
"Gekij&ocirc;-ban - Bish&ocirc;jo senshi S&ecirc;r&acirc; M&ucirc;n R (Sailor Moon R the Movie: The Promise of the Rose)","0106417",3,1993,3330
"Searching for Bobby Fischer","0108065",0,1993,3336
"Cliffhanger","0106582",1,1993,3369
"Untamed Heart","0108451",3,1993,3396
"Heroic Trio, The","0105619",3,1993,3405
"Naked","0107653",3,1993,3550
"Evil Cult, The","0108624",3,1993,3692
"Beverly Hillbillies, The","0106400",3,1993,3704
"Gypsy","0107065",3,1993,3715
"Remains of the Day, The","0107943",1,1993,3761
"Cannibal! The Musical","0115819",0,1993,3921
"Indien","0107214",0,1993,4337
"Super Mario Bros.","0108255",3,1993,4422
"Telling Secrets","0108310",3,1993,4555
"Coneheads","0106598",3,1993,4636
"Batman: Mask of the Phantasm","0106364",0,1993,4877
"Gettysburg","0107007",0,1993,4917
"Indian Summer","0107212",3,1993,5065
"Dragon: The Bruce Lee Story","0106770",3,1993,5083
"RoboCop 3","0107978",3,1993,5238
"Body of Evidence","0106453",3,1993,5243
"Heidi","0107099",3,1993,5285
"Short Cuts","0108122",3,1993,5316
"Body Snatchers","0106452",3,1993,5521
"Rising Sun","0107969",1,1993,5580
"Firm, The","0106918",3,1993,6474
"Blood In, Blood Out","0106469",0,1993,5665
"Bhaji on the Beach","0106408",3,1993,5725
"Philadelphia","0107818",2,1993,5919
"Sliver","0108162",3,1993,6076
"Hot Shots! Part Deux","0107144",3,1993,6173
"Farewell My Concubine","0106332",0,1993,6215
"True Romance","0108399",1,1993,6349
"What&#39;s Eating Gilbert Grape","0108550",3,1993,6492
"Matinee","0107529",1,1993,6844
"Arctic Blue","0106303",1,1993,7055
"Dragon Ball Z: The History of Trunks","0142247",1,1993,7209
"Body Bags","0106449",1,1993,7272
"Pelican Brief, The","0107798",3,1993,7277
"Making of &#39;...And God Spoke&#39;, The","0107492",1,1993,7418
"In the Name of the Father","0107207",2,1993,7514
"What&#39;s Love Got to Do with It","0108551",3,1993,7526
"A perfect world","0107808",1,1993,7611
"Benny &amp; Joon","0106387",1,1993,7619
"Indecent Proposal","0107211",0,1993,7642
"In the Line of Fire","0107206",1,1993,7667
"Kika","0107315",3,1993,7699
"La casa de los esp&iacute;ritus","0107151",3,1993,7840
"Poetic Justice","0107840",3,1993,8148
"Man Without a Face, The","0107501",1,1993,8552
"Mi vida loca","0107566",3,1993,8568
"Heaven &amp; Earth","0107096",2,1993,8652
"Six Degrees of Separation","0108149",3,1993,8759
"Much Ado About Nothing","0107616",1,1993,9033
"Fear of a Black hat","0106880",1,1993,9155
"I Killed My Lesbian Wife, Hung Her on a Meathook, and Now I Have a Three Picture Deal at Disney","0166222",3,1993,9398
"Last Action Hero","0107362",1,1993,9466
"Hard Target","0107076",1,1993,9565
"Space Zombie Bingo!!!","0314713",0,1993,9735
"Leprechaun","0107387",1,1993,10136
"Guilty as sin","0107057",2,1993,10205
"Free Willy","0106965",1,1993,10763
"So I Married an Axe Murderer","0108174",3,1993,10565
"Grumpy Old Men","0107050",1,1993,10696
"Teenage Mutant Ninja Turtles III","0108308",2,1993,10944
"Gatica, el mono","0106989",1,1993,10967
"A Bronx tale","0106489",1,1993,11052
"Falling Down","0106856",1,1993,11316
"Fong Sai Yuk","0106936",3,1993,11429
"Manichithrathazhu","0214915",3,1993,11613
"Son In Law","0108186",3,1993,11780
"Alive","0106246",3,1993,11895
"Wrong Trousers, The","0108598",0,1993,11914
"Bubsy: What Could Possibly Go Wrong?","0287945",3,1993,11915
"Pulp Fiction","0110912",3,1994,91
"Lion King, The","0110357",1,1994,100
"Interview with the Vampire","0110148",1,1994,120
"Heisei tanuki gassen pompoko","0110008",1,1994,261
"Shawshank Redemption, The","0111161",0,1994,339
"Speed","0111257",3,1994,440
"Ace Ventura: Pet Detective","0109040",2,1994,441
"Clerks.","0109445",1,1994,488
"Stand, The","0108941",3,1994,537
"Heavenly Creatures","0110005",3,1994,567
"Drop Zone","0109676",2,1994,571
"Timecop","0111438",1,1994,574
"Forrest Gump","0109830",1,1994,776
"Reality Bites","0110950",3,1994,860
"Dumb &amp; Dumber","0109686",2,1994,890
"Stargate","0111282",1,1994,959
"Little Women","0110367",3,1994,960
"Santa Clause, The","0111070",1,1994,1051
"Return of Jafar, The","0107952",0,1994,1066
"Pagemaster, The","0110763",1,1994,1208
"Angels in the Outfield","0109127",1,1994,1128
"True Lies","0111503",3,1994,1098
"Client, The","0109446",3,1994,1535
"Amateur","0109093",3,1994,1571
"Pat and Margaret","0124829",3,1994,1734
"Professional, The","0110413",3,1994,1755
"Bad Girls","0109198",3,1994,1786
"Go Fish","0109913",3,1994,1788
"Naked Gun 33 1/3: The Final Insult","0110622",2,1994,1826
"Beverly Hills Cop III","0109254",0,1994,1850
"Police Academy: Mission to Moscow","0110857",1,1994,1914
"Ed Wood","0109707",3,1994,1920
"Eat Drink Man Woman","0111797",3,1994,2121
"Muriel&#39;s Wedding","0110598",3,1994,2209
"Mina Tannenbaum","0110521",3,1994,2210
"Crooklyn","0109504",3,1994,2350
"Shadow, The","0111143",0,1994,2535
"Priest","0110889",3,1994,2852
